,problemId,problemDescription,correctAnswer,problemImage
25,62f26b0e70447e001373f911,"""Convert the sentence below into a numerical expression without evaluating it. \n\nAva had \\$26 saved. She spent \\$14 on a new shirt, then recieved a weekly allowance of \\$6.""","[""26-14+6""]",https://cdn.matteappen.se/images/62bb1836-218e-4dcb-b131-1a70ff31db36?format=png&size=medium
26,62f21165c5134b0013f0616e,"""Divide. \n\n$\\quad 15 \\div 5=$""","[""3""]",https://api.matteappen.se/v2/images/307fe67e-7c01-4b0d-97c5-f90f489c6adf.png
27,62f275c870447e0013746f7a,"""Leo has already read part of a book. For the remaining part, he reads 10 pages per day for 8 days. He still has 18 pages remaining.\n\nSelect the inequality that represents *p*, the number of pages the book consists of.""",[],https://api.matteappen.se/v2/images/7fe28e18-7984-4450-a184-d2426c43bcbf.png
28,681a1fa0b96607fde8f161d8,"""Is this pattern additive?\n\n$4\\,,\\, 8\\,,\\, 16\\,,\\, 32\\,,\\, 64$""",[],missing
29,67e17e35181ef06bffd70cd2,"""A soccer team is arranging a car wash to raise money. They charge \\$7 for washing a car and \\$10 for washing an SUV. They washed a total of 40 vehicles and earned \\$310. If $c$ represents the number of cars washed and $u$ represents the number of SUVs washed, it can be represented by the following system of equations. \n\n$c+u=40$\n\n$7c+10u=310$\n\nUse substitution to find out how many SUVs were washed.""","[""u=10""]",missing
30,67c9c1736f176450cac5deb9,"""Solve the equation. Explain the steps and properties used.\n\n${\\Large\\frac{3}{7}}(t+{\\Large\\frac{7}{4}})={\\Large\\frac{6}{14}}$""","[""t=-0.75""]",missing
31,62f210b758c69f0013d9112e,"""Multiply. \n\n$\\quad 3\\times1=$""","[""3""]",missing
32,65b259c46190b9835a132c52,"""Lizzie divides two pizzas into 12 slices each.\n\n- Kevin eats ${\\Large\\frac{1}{4}}$ of the first pizza.\n- Clara eats ${\\Large\\frac{4}{12}}$ of the first pizza.\n- Iman eats ${\\Large\\frac{7}{12}}$ of the second pizza.\n- Lizzie eats the rest.\n\nHow much pizza does Lizzie eat? Write as a fraction.""","[""[5/12]""]",https://cdn.matteappen.se/images/3fb33d4d-8cc9-4529-b476-e615082decd5?format=png&size=medium
33,67e3a5cd91b757a5daa8dc54,"""A car rental company imposes a security deposit and a daily fee of \\$15. A tourist hires a car for 7 days and is charged \\$121. How much is the security deposit in dollars?""","[""$16""]",missing
34,65c15517f21333ae0dac070a,"""Calculate.\n\n$\\quad  8\\cdot (5^2-6)^2 - {\\Large\\frac{1}{4^2}} (10+5\\cdot 2)^2=$""","[""2863""]",missing
35,64707e8bfdbd7d001350255f,"""Alessia had $3$ less plants than Bob. If $A$ represents the plants that Alessia had and $B$ represents the plants that Bob had, which of the following equations is true?""",[],missing
36,67d1a3c8ab965638a7ca5e4b,"""After filling the water dispenser at the cafeteria where he works, Cruz measures the water level during the day at different hourly intervals. Assuming the water is used at a constant rate, write a linear equation in slope-intercept form that can be used to determine the water level in the dispenser after $x$ hours.""","[""y=-[5/6]x+[[83]/4]""]",https://cdn.matteappen.se/images/6730d7a0-bd8c-11ef-a753-1128abed0791?format=png&size=medium
37,63e39f18488cf00013600cd7,"""A bicycle rental company charges a deposit and an hourly fee of \\$2. A customer rents a bicycle for 5 hours and is billed \\$42. How much is the deposit in dollars?""","[""$32""]",missing
38,62f26fa070447e001374326f,"""What is the greatest common factor (GCF) of 63 and 28?""","[""7""]",missing
39,63cffe78c246a10013554714,"""Archie throws a ball up in the air. \n\nThe height of the ball, in feet, $t$ seconds after it was thrown can be modeled by $h(t)= -16t^2+30t+4$.\n\nWill the ball reach a height of 20 feet?""",[],https://cdn.matteappen.se/images/0a535b16-06d5-4fc4-b9a9-312ccc318527?format=png&size=medium
40,62f2704f70447e0013743b7c,"""Sonia Construction & Beautification Co. has a contract to lay down a running track around a square garden. The square garden is has a side of 120 feet. The road has to be constructed 10 feet wide around the sides, as shown in the plan diagram, to form a bigger square layout.\n\nThe company charges the \\$11 per square feet of running track. Find the total cost for this construction.""","[""$57200""]",https://cdn.matteappen.se/images/198e7fc2-3398-4cbc-8b36-196dda5a23cd?format=png&size=medium
41,63cffe86c037020013e2ed80,"""The area of a triangle with a base of $(x-4)$ centimeter and a height of $(x+8)$ centimeters is 144 centimeters squared. What is the value of $x$?""","[""x=16""]",missing
42,67c86aea686f22388c552865,"""Determine whether the two linear expressions are equivalent. Justify your answer.\n\nExpression 1: $\\left(3{\\Large\\frac{1}{2}}x-4{\\Large\\frac{1}{10}}\\right)+\\left({\\Large\\frac{3}{8}}x+2{\\Large\\frac{1}{5}}\\right)$\n\nExpression 2: ${3\\Large\\frac{1}{8}}x-6{\\Large\\frac{3}{10}}$""",[],missing
43,63e3a51d488cf000136028d7,"""A store sells two products, $A$ and $B$. Product $A$ costs \\$10, and product $B$ costs \\$60. The store made a total of \\$400 from selling these products. \n\nIf the store sold $10$ units of product $A$, how many units of product $B$ did it sell?""","[""5""]",missing
44,62f26cb17295040013531402,"""Hailey is baking three pies. She bought $\\Large\\frac{1}{2}$ pounds of blueberries, $\\Large\\frac{1}{4}$ pounds of raspberries, and $\\Large\\frac{1}{2}$ pounds of strawberries. She divided each type of berry equally among the pies. How many pounds of berries will there be in each pie?""","[""[5/[12]]lb""]",https://api.matteappen.se/v2/images/c6636f48-e383-4887-be9f-013b77f5898e.png
